caller,callee,kind,site,count
0x0800A280,0x0800B0FC,bl,0x0800A288,1
0x0800A294,0x0800AA18,bl,0x0800A32A,1
0x0800A294,0x0800AA94,bl,0x0800A31A,1
0x0800A294,0x0800B130,bl,0x0800A2BE,2
0x0800A294,0x080CFA5C,bl,0x0800A300,1
0x0800A340,0x0800A9A0,bl,0x0800A414,1
0x0800A340,0x0800AA94,bl,0x0800A402,1
0x0800A340,0x0800B130,bl,0x0800A39A,2
0x0800A340,0x080CFA5C,bl,0x0800A3F4,1
0x0800A42C,0x0800A9A0,bl,0x0800A4A0,1
0x0800A42C,0x080CFA5C,bl,0x0800A48A,1
0x0800A4C0,0x0800AA74,bl,0x0800A544,1
0x0800A4C0,0x080CFA5C,bl,0x0800A520,1
0x0800A554,0x0800AA74,bl,0x0800A5FE,1
0x0800A554,0x0800AD68,bl,0x0800A654,1
0x0800A554,0x0800AF40,bl,0x0800A66E,1
0x0800A554,0x0800B34C,bl,0x0800A632,2
0x0800A6A4,0x0800AB08,bl,0x0800A764,1
0x0800A6A4,0x0800B230,bl,0x0800A746,2
0x0800A6A4,0x0800B34C,bl,0x0800A702,2
0x0800A6A4,0x0800B3F8,bl,0x0800A768,1
0x0800A778,0x0800A21C,bl,0x0800A80E,1
0x0800A778,0x0800B0A4,bl,0x0800A7EC,2
0x0800A854,0x080031B8,bl,0x0800A8AA,2
0x0800A854,0x0800B190,bl,0x0800A8CE,3
0x0800A9A0,0x0800B130,bl,0x0800A9C8,1
0x0800AA74,0x0800AAAC,bl,0x0800AA7C,1
0x0800AA74,0x0800B130,bl,0x0800AA82,1
0x0800AB08,0x0800AF40,bl,0x0800AB24,1
0x0800AB3C,0x08008E6C,bl,0x0800AB46,1
0x0800AB3C,0x0800B318,bl,0x0800AB52,1
0x0800AB64,0x0800B318,bl,0x0800AB7C,4
0x0800ABC0,0x08002F14,bl,0x0800ABD0,1
